,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
★,-,10,2018/10/21 9:23,5114,乗客アプリ（目的地から）,2915,658,4,1,,2018/10/21 10:01,2018/10/21 10:07,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/21 10:02,2018/10/21 10:02,2018/10/21 10:10,2018/10/21 10:10,2018/10/21 9:53,2018/10/21 9:53,0:05:39,0:05:39,516,00,01,06,05,,2018/10/21 10:00,※10時以前に予約しているため
-,-,10,2018/10/21 9:52,5115,乗客アプリ（地図から）,3048,482,7,2,,2018/10/21 10:05,2018/10/21 10:15,35.452963 139.642093,横浜赤レンガ倉庫,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/21 10:08,2018/10/21 10:08,2018/10/21 10:20,2018/10/21 10:20,,2018/10/21 9:52,0:10:12,0:20:24,,00,13,,,,,
-,-,10,2018/10/21 9:53,5116,乗客アプリ（地図から）,3263,462,1,1,,2018/10/21 10:00,2018/10/21 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/21 10:01,2018/10/21 10:02,2018/10/21 10:08,2018/10/21 10:18,,2018/10/21 9:53,0:11:32,0:11:32,,00,06,,,,,
-,-,10,2018/10/21 9:54,5117,乗客アプリ（目的地から）,3579,1249,5,2,,2018/10/21 10:04,2018/10/21 10:08,35.456605 139.635327,横浜ベイホテル東急,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/21 10:05,2018/10/21 10:05,2018/10/21 10:12,2018/10/21 10:12,,2018/10/21 9:54,0:03:52,0:07:44,,00,10,,,,,
-,-,10,2018/10/21 10:01,5119,まちかど設置端末（地図から）,0,918,1,2,,2018/10/21 10:08,2018/10/21 10:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/21 10:06,2018/10/21 10:06,2018/10/21 10:27,2018/10/21 10:27,,2018/10/21 10:01,0:14:00,0:28:00,,01,06,,,,,
-,-,10,2018/10/21 10:09,5123,まちかど設置端末（地図から）,0,504,7,1,,2018/10/21 10:12,2018/10/21 10:33,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/21 10:16,2018/10/21 10:16,2018/10/21 10:35,2018/10/21 10:40,,2018/10/21 10:09,0:20:24,0:20:24,,00,03,,,,,
-,-,10,2018/10/21 10:09,5124,乗客アプリ（目的地から）,1358,642,8,1,,2018/10/21 10:12,2018/10/21 10:25,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/21 10:11,2018/10/21 10:11,2018/10/21 10:19,2018/10/21 10:19,,2018/10/21 10:09,0:13:05,0:13:05,,01,02,,,,,
-,-,10,2018/10/21 10:10,5125,まちかど設置端末（地図から）,0,502,7,1,,2018/10/21 10:13,2018/10/21 10:29,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/21 10:14,2018/10/21 10:14,2018/10/21 10:34,2018/10/21 10:34,,2018/10/21 10:10,0:16:07,0:16:07,,00,02,,,,,
-,-,10,2018/10/21 10:11,5126,まちかど設置端末（地図から）,0,1251,6,1,,2018/10/21 10:17,2018/10/21 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/21 10:16,2018/10/21 10:23,2018/10/21 10:26,2018/10/21 10:33,,2018/10/21 10:11,0:06:43,0:06:43,,00,06,,,,,
★,-,10,2018/10/21 10:13,5128,まちかど設置端末（地図から）,0,799,6,4,,2018/10/21 10:41,2018/10/21 10:51,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/10/21 10:42,2018/10/21 10:42,2018/10/21 10:55,2018/10/21 10:55,2018/10/21 10:42,2018/10/21 10:42,0:09:45,0:39:00,,00,00,,,,,
