,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/10/25 9:50,6258,乗客アプリ（目的地から）,1358,1108,3,1,,2018/10/25 10:02,2018/10/25 10:06,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/25 10:05,2018/10/25 10:05,2018/10/25 10:12,2018/10/25 10:12,,2018/10/25 9:50,0:03:36,0:03:36,289,00,02,04,04,,2018/10/25 10:00,※10時以前に予約しているため
-,-,10,2018/10/25 9:56,6259,乗客アプリ（地図から）,67,880,5,1,,2018/10/25 10:05,2018/10/25 10:17,35.443908 139.635249,イセザキ・モール,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/25 10:09,2018/10/25 10:09,2018/10/25 10:19,2018/10/25 10:19,,2018/10/25 9:56,0:12:41,0:12:41,,00,04,,,,2018/10/25 10:00,※10時以前に予約しているため
-,-,10,2018/10/25 9:58,6260,乗客アプリ（目的地から）,2306,382,2,1,,2018/10/25 10:06,2018/10/25 10:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/25 10:05,2018/10/25 10:08,2018/10/25 10:20,2018/10/25 10:30,,2018/10/25 9:58,0:21:19,0:21:19,,01,06,,,,2018/10/25 10:00,※10時以前に予約しているため
-,-,10,2018/10/25 9:59,6261,乗客アプリ（目的地から）,1663,973,2,1,,2018/10/25 10:06,2018/10/25 10:17,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/25 10:06,2018/10/25 10:07,2018/10/25 10:19,2018/10/25 10:21,,2018/10/25 9:59,0:11:01,0:11:01,,00,06,,,,,
-,-,10,2018/10/25 10:00,6262,乗客アプリ（地図から）,2171,759,2,1,,2018/10/25 10:05,2018/10/25 10:34,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/25 10:07,2018/10/25 10:07,2018/10/25 10:38,2018/10/25 10:38,,2018/10/25 10:00,0:28:29,0:28:29,,00,05,,,,,
-,-,10,2018/10/25 10:10,6263,まちかど設置端末（地図から）,0,1116,3,1,,2018/10/25 10:15,2018/10/25 10:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/25 10:20,2018/10/25 10:20,2018/10/25 10:27,2018/10/25 10:27,,2018/10/25 10:10,0:04:44,0:04:44,,00,04,,,,,
-,-,10,2018/10/25 10:12,6264,まちかど設置端末（店舗から）,0,756,3,1,,2018/10/25 10:15,2018/10/25 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/25 10:19,2018/10/25 10:19,2018/10/25 10:33,2018/10/25 10:33,,2018/10/25 10:12,0:11:03,0:11:03,,00,02,,,,,
-,-,10,2018/10/25 10:20,6265,乗客アプリ（目的地から）,3955,509,8,1,,2018/10/25 10:24,2018/10/25 10:30,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/25 10:23,2018/10/25 10:23,2018/10/25 10:31,2018/10/25 10:31,,2018/10/25 10:20,0:06:38,0:06:38,,00,04,,,,,
-,-,10,2018/10/25 10:21,6266,乗客アプリ（地図から）,2892,651,4,2,,2018/10/25 10:25,2018/10/25 10:34,35.445783 139.642958,横浜情報文化センター,35.456605 139.635327,横浜ベイホテル東急,2018/10/25 10:25,2018/10/25 10:25,2018/10/25 10:38,2018/10/25 10:38,,2018/10/25 10:21,0:08:43,0:17:26,,00,03,,,,,
-,-,10,2018/10/25 10:26,6267,乗客アプリ（目的地から）,3457,506,4,4,,2018/10/25 10:34,2018/10/25 10:43,35.456605 139.635327,横浜ベイホテル東急,35.443073 139.651914,横浜人形の家,2018/10/25 10:37,2018/10/25 10:37,2018/10/25 10:53,2018/10/25 10:53,,2018/10/25 10:26,0:09:02,0:36:08,,00,07,,,,,
