,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
★,-,10,2018/10/23 9:23,5682,乗客アプリ（目的地から）,2915,947,4,1,,2018/10/23 10:08,2018/10/23 10:13,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/23 10:05,2018/10/23 10:08,2018/10/23 10:13,2018/10/23 10:19,2018/10/23 9:53,2018/10/23 9:53,0:05:22,0:05:22,478,02,14,06,06,,,
★,-,10,2018/10/23 9:31,5683,乗客アプリ（地図から）,3025,673,5,1,,2018/10/23 10:31,2018/10/23 10:40,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/23 10:31,2018/10/23 10:31,2018/10/23 10:43,2018/10/23 10:43,2018/10/23 10:31,2018/10/23 10:31,0:08:26,0:08:26,,00,00,,,,,
-,-,10,2018/10/23 9:38,5684,乗客アプリ（目的地から）,2388,364,10,1,,2018/10/23 10:08,2018/10/23 10:18,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.454389 139.630904,横浜ランドマークタワー,2018/10/23 10:12,2018/10/23 10:12,2018/10/23 10:25,2018/10/23 10:25,,2018/10/23 9:38,0:09:16,0:09:16,,00,12,,,,2018/10/23 10:00,※10時以前に予約しているため
-,-,10,2018/10/23 10:00,5686,乗客アプリ（目的地から）,3394,581,3,1,,2018/10/23 10:15,2018/10/23 10:30,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/10/23 10:16,2018/10/23 10:17,2018/10/23 10:28,2018/10/23 10:36,,2018/10/23 10:00,0:15:33,0:15:33,,00,15,,,,,
-,-,10,2018/10/23 10:01,5687,まちかど設置端末（地図から）,0,647,5,3,,2018/10/23 10:09,2018/10/23 10:17,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443908 139.635249,イセザキ・モール,2018/10/23 10:08,2018/10/23 10:08,2018/10/23 10:18,2018/10/23 10:18,,2018/10/23 10:01,0:08:17,0:24:51,,01,07,,,,,
-,-,10,2018/10/23 10:03,5688,乗客アプリ（目的地から）,3457,724,4,1,,2018/10/23 10:10,2018/10/23 10:13,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/23 10:12,2018/10/23 10:12,2018/10/23 10:18,2018/10/23 10:18,,2018/10/23 10:03,0:03:17,0:03:17,,00,06,,,,,
-,-,10,2018/10/23 10:03,5689,乗客アプリ（目的地から）,1663,536,9,1,,2018/10/23 10:07,2018/10/23 10:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/23 10:07,2018/10/23 10:07,2018/10/23 10:22,2018/10/23 10:22,,2018/10/23 10:03,0:11:58,0:11:58,,00,03,,,,,
★,-,10,2018/10/23 10:08,5690,乗客アプリ（地図から）,1063,462,10,2,,2018/10/23 10:32,2018/10/23 10:46,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/23 10:38,2018/10/23 10:38,2018/10/23 10:51,2018/10/23 10:56,2018/10/23 10:38,2018/10/23 10:38,0:14:35,0:29:10,,00,00,,,,,
-,-,10,2018/10/23 10:09,5691,乗客アプリ（地図から）,1666,1215,2,1,,2018/10/23 10:16,2018/10/23 10:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/23 10:14,2018/10/23 10:17,2018/10/23 10:27,2018/10/23 10:30,,2018/10/23 10:09,0:11:05,0:11:05,,01,06,,,,,
-,-,10,2018/10/23 10:11,5692,まちかど設置端末（地図から）,0,572,2,1,,2018/10/23 10:16,2018/10/23 11:00,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/23 10:17,2018/10/23 10:17,2018/10/23 10:39,2018/10/23 10:39,,2018/10/23 10:11,0:43:53,0:43:53,,00,04,,,,,
