,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
-,-,10,2018/10/13 9:47,2784,乗客アプリ（地図から）,1604,906,6,3,,2018/10/13 10:01,2018/10/13 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/13 10:03,2018/10/13 10:04,2018/10/13 10:28,2018/10/13 10:37,,2018/10/13 9:47,0:16:56,0:50:48,400,00,14,04,05,,
★,-,10,2018/10/13 9:58,2787,乗客アプリ（目的地から）,2621,596,6,2,,2018/10/13 10:39,2018/10/13 10:49,35.445857 139.647636,ホテルモントレ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/13 10:45,2018/10/13 10:45,2018/10/13 10:59,2018/10/13 11:11,2018/10/13 10:45,2018/10/13 10:45,0:09:59,0:19:58,,00,00,,,,
-,-,10,2018/10/13 10:01,2788,乗客アプリ（目的地から）,1727,1248,6,1,,2018/10/13 10:08,2018/10/13 10:42,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/13 10:12,2018/10/13 10:12,2018/10/13 10:52,2018/10/13 10:52,,2018/10/13 10:01,0:33:07,0:33:07,,00,07,,,,
-,-,10,2018/10/13 10:02,2790,街角設置端末（店舗から）,0,1233,7,1,,2018/10/13 10:04,2018/10/13 10:22,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/13 10:06,2018/10/13 10:06,2018/10/13 10:22,2018/10/13 10:33,,2018/10/13 10:02,0:17:51,0:17:51,,00,02,,,,
★,-,10,2018/10/13 10:03,2791,乗客アプリ（目的地から）,1358,477,7,1,,2018/10/13 10:10,2018/10/13 10:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/13 10:10,2018/10/13 10:10,2018/10/13 10:22,2018/10/13 10:22,2018/10/13 10:09,2018/10/13 10:09,0:05:19,0:05:19,,00,00,,,,
-,-,10,2018/10/13 10:04,2792,街角設置端末（店舗から）,0,479,6,1,,2018/10/13 10:08,2018/10/13 10:13,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/13 10:10,2018/10/13 10:10,2018/10/13 10:24,2018/10/13 10:24,,2018/10/13 10:04,0:04:11,0:04:11,,00,04,,,,
-,-,10,2018/10/13 10:04,2793,街角設置端末（地図から）,0,404,4,2,,2018/10/13 10:10,2018/10/13 10:15,35.450447 139.635947,みなとみらい線　馬車道駅,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/13 10:09,2018/10/13 10:09,2018/10/13 10:23,2018/10/13 10:23,,2018/10/13 10:04,0:04:59,0:09:58,,01,06,,,,
-,-,10,2018/10/13 10:05,2794,乗客アプリ（目的地から）,2652,1173,1,1,,2018/10/13 10:15,2018/10/13 10:31,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/13 10:09,2018/10/13 10:12,2018/10/13 10:34,2018/10/13 10:41,,2018/10/13 10:05,0:15:46,0:15:46,,05,10,,,,
-,-,10,2018/10/13 10:05,2795,乗客アプリ（目的地から）,1328,1234,1,1,,2018/10/13 10:15,2018/10/13 10:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/13 10:10,2018/10/13 10:11,2018/10/13 10:24,2018/10/13 10:26,,2018/10/13 10:05,0:08:09,0:08:09,,05,09,,,,
-,-,10,2018/10/13 10:06,2796,街角設置端末（地図から）,0,787,1,1,,2018/10/13 10:15,2018/10/13 10:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/13 10:11,2018/10/13 10:11,2018/10/13 10:25,2018/10/13 10:25,,2018/10/13 10:06,0:08:08,0:08:08,,04,08,,,,
