,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,10,2018/10/29 9:48,7179,乗客アプリ（地図から）,2290,900,6,1,,2018/10/29 10:08,2018/10/29 10:16,35.448676 139.635696,横浜平和プラザホテル,35.443073 139.651914,横浜人形の家,2018/10/29 10:08,2018/10/29 10:09,2018/10/29 10:17,2018/10/29 10:19,,2018/10/29 9:48,0:08:16,0:08:16,312,00,08,06,06,2018/10/29 9:48,2018/10/29 10:16,43402.408333333343402.4277777778,#N/A,,2018/10/29 10:00,※10時以前に予約しているため,
-,-,10,2018/10/29 9:50,7180,乗客アプリ（目的地から）,2314,1181,7,1,,2018/10/29 10:03,2018/10/29 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/29 10:02,2018/10/29 10:06,2018/10/29 10:17,2018/10/29 10:29,,2018/10/29 9:50,0:20:35,0:20:35,,01,03,,,2018/10/29 9:50,2018/10/29 10:24,43402.409722222243402.4333333333,#N/A,,2018/10/29 10:00,※10時以前に予約しているため,
-,-,10,2018/10/29 10:01,7185,まちかど設置端末（地図から）,0,1052,7,1,,2018/10/29 10:04,2018/10/29 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/29 10:06,2018/10/29 10:06,2018/10/29 10:24,2018/10/29 10:32,,2018/10/29 10:01,0:22:19,0:22:19,,00,02,,,2018/10/29 10:01,2018/10/29 10:26,43402.417361111143402.4347222222,#N/A,,,,
★,-,10,2018/10/29 10:02,7186,乗客アプリ（目的地から）,4303,728,9,2,,2018/10/29 10:26,2018/10/29 10:32,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/29 10:32,2018/10/29 10:32,2018/10/29 10:42,2018/10/29 10:42,2018/10/29 10:32,2018/10/29 10:32,0:06:55,0:13:50,,00,00,,,2018/10/29 10:02,2018/10/29 10:32,43402.418055555643402.4388888889,#N/A,,,,
-,-,10,2018/10/29 10:02,7187,乗客アプリ（目的地から）,4311,727,7,2,,2018/10/29 10:09,2018/10/29 10:15,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/29 10:11,2018/10/29 10:11,2018/10/29 10:21,2018/10/29 10:21,,2018/10/29 10:02,0:05:56,0:11:52,,00,06,,,2018/10/29 10:02,2018/10/29 10:15,43402.418055555643402.4270833333,#N/A,,,,
-,-,10,2018/10/29 10:02,7188,まちかど設置端末（地図から）,0,580,5,1,,2018/10/29 10:07,2018/10/29 10:27,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/29 10:05,2018/10/29 10:05,2018/10/29 10:19,2018/10/29 10:31,,2018/10/29 10:02,0:19:42,0:19:42,,02,04,,,2018/10/29 10:02,2018/10/29 10:27,43402.418055555643402.4354166667,#N/A,,,,
-,-,10,2018/10/29 10:07,7191,乗客アプリ（地図から）,1666,1272,5,1,,2018/10/29 10:07,2018/10/29 10:24,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/29 10:11,2018/10/29 10:11,2018/10/29 10:23,2018/10/29 10:23,,2018/10/29 10:07,0:16:35,0:16:35,,00,00,,,2018/10/29 10:07,2018/10/29 10:24,43402.421527777843402.4333333333,#N/A,,,,
-,-,10,2018/10/29 10:07,7192,乗客アプリ（地図から）,1232,691,6,2,,2018/10/29 10:13,2018/10/29 10:23,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/29 10:16,2018/10/29 10:16,2018/10/29 10:25,2018/10/29 10:25,,2018/10/29 10:07,0:09:43,0:19:26,,00,06,,,2018/10/29 10:07,2018/10/29 10:23,43402.421527777843402.4326388889,#N/A,,,,
-,-,10,2018/10/29 10:08,7193,まちかど設置端末（地図から）,0,465,4,1,,2018/10/29 10:11,2018/10/29 10:24,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/29 10:11,2018/10/29 10:11,2018/10/29 10:21,2018/10/29 10:29,,2018/10/29 10:08,0:12:58,0:12:58,,00,03,,,2018/10/29 10:08,2018/10/29 10:24,43402.422222222243402.4333333333,#N/A,,,,
-,-,10,2018/10/29 10:08,7194,乗客アプリ（目的地から）,3457,595,10,1,,2018/10/29 10:13,2018/10/29 10:18,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/29 10:13,2018/10/29 10:13,2018/10/29 10:20,2018/10/29 10:20,,2018/10/29 10:08,0:04:25,0:04:25,,00,05,,,2018/10/29 10:08,2018/10/29 10:18,43402.422222222243402.4291666667,#N/A,,,,
