,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,10,2018/11/2 9:56,8473,乗客アプリ（地図から）,2051,213,1,1,,2018/11/2 10:10,2018/11/2 10:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/2 10:01,2018/11/2 10:01,2018/11/2 10:14,2018/11/2 10:14,,2018/11/2 9:56,0:09:41,0:09:41,195,08,10,07,06,2018/11/2 9:56,2018/11/2 10:19,43406.413888888943406.4298611111,肯定的,,2018/11/2 10:00,※10時以前に予約しているため,
-,-,10,2018/11/2 9:58,8474,乗客アプリ（地図から）,2171,1001,2,1,,2018/11/2 10:12,2018/11/2 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/2 10:01,2018/11/2 10:01,2018/11/2 10:08,2018/11/2 10:08,,2018/11/2 9:58,0:05:43,0:05:43,,11,12,,,2018/11/2 9:58,2018/11/2 10:18,43406.415277777843406.4291666667,#N/A,,2018/11/2 10:00,※10時以前に予約しているため,
-,-,10,2018/11/2 9:59,8475,まちかど端末（乗降ポイントから）,0,628,8,2,,2018/11/2 10:16,2018/11/2 10:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/2 10:05,2018/11/2 10:05,2018/11/2 10:14,2018/11/2 10:14,,2018/11/2 9:59,0:06:28,0:12:56,,10,16,,,2018/11/2 9:59,2018/11/2 10:22,43406.415972222243406.4319444444,#N/A,,2018/11/2 10:00,※10時以前に予約しているため,
-,-,10,2018/11/2 9:59,8476,乗客アプリ（目的地から）,1885,606,3,1,,2018/11/2 10:10,2018/11/2 10:19,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/2 10:01,2018/11/2 10:01,2018/11/2 10:15,2018/11/2 10:15,,2018/11/2 9:59,0:09:18,0:09:18,,08,10,,,2018/11/2 9:59,2018/11/2 10:19,43406.415972222243406.4298611111,肯定的,,2018/11/2 10:00,※10時以前に予約しているため,
-,-,10,2018/11/2 10:02,8478,乗客アプリWeb（地図から）,4688,374,6,1,,2018/11/2 10:15,2018/11/2 10:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/2 10:08,2018/11/2 10:08,2018/11/2 10:19,2018/11/2 10:19,,2018/11/2 10:02,0:03:41,0:03:41,,07,12,,,2018/11/2 10:02,2018/11/2 10:19,43406.418055555643406.4298611111,#N/A,,,,
-,-,10,2018/11/2 10:04,8479,まちかど端末（乗降ポイントから）,0,334,7,2,,2018/11/2 10:13,2018/11/2 10:24,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/2 10:11,2018/11/2 10:11,2018/11/2 10:23,2018/11/2 10:23,,2018/11/2 10:04,0:10:23,0:20:46,,02,08,,,2018/11/2 10:04,2018/11/2 10:24,43406.419444444443406.4333333333,#N/A,,,,
-,-,10,2018/11/2 10:06,8480,乗客アプリ（目的地から）,3162,301,9,1,,2018/11/2 10:10,2018/11/2 10:15,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/2 10:09,2018/11/2 10:09,2018/11/2 10:17,2018/11/2 10:17,,2018/11/2 10:06,0:05:09,0:05:09,,01,04,,,2018/11/2 10:06,2018/11/2 10:15,43406.420833333343406.4270833333,#N/A,,,,
-,-,10,2018/11/2 10:06,8481,まちかど端末（店舗から）,0,220,10,1,,2018/11/2 10:13,2018/11/2 10:22,35.450447 139.635947,みなとみらい線　馬車道駅,35.443908 139.635249,イセザキ・モール,2018/11/2 10:13,2018/11/2 10:13,2018/11/2 10:19,2018/11/2 10:19,,2018/11/2 10:06,0:09:05,0:09:05,,00,06,,,2018/11/2 10:06,2018/11/2 10:22,43406.420833333343406.4319444444,#N/A,,,,
★,-,10,2018/11/2 10:07,8482,乗客アプリ（目的地から）,2678,471,5,2,,2018/11/2 10:20,2018/11/2 10:29,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/2 10:20,2018/11/2 10:20,2018/11/2 10:34,2018/11/2 10:34,2018/11/2 10:17,2018/11/2 10:17,0:09:30,0:19:00,,00,03,,,2018/11/2 10:07,2018/11/2 10:29,43406.421527777843406.4368055556,#N/A,,,,
-,-,10,2018/11/2 10:09,8483,乗客アプリ（目的地から）,3457,3,4,1,,2018/11/2 10:15,2018/11/2 10:18,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/2 10:16,2018/11/2 10:16,2018/11/2 10:22,2018/11/2 10:22,,2018/11/2 10:09,0:03:31,0:03:31,,00,05,,,2018/11/2 10:09,2018/11/2 10:18,43406.422916666743406.4291666667,#N/A,,,,
-,-,10,2018/11/2 10:18,8484,乗客アプリ（目的地から）,2589,415,6,1,,2018/11/2 10:25,2018/11/2 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/2 10:27,2018/11/2 10:27,2018/11/2 10:38,2018/11/2 10:38,,2018/11/2 10:18,0:10:41,0:10:41,,00,06,,,2018/11/2 10:18,2018/11/2 10:36,43406.429166666743406.4416666667,#N/A,,,,
-,-,10,2018/11/2 10:23,8486,まちかど端末（乗降ポイントから）,0,25,4,1,,2018/11/2 10:28,2018/11/2 10:36,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/11/2 10:28,2018/11/2 10:28,2018/11/2 10:41,2018/11/2 10:38,,2018/11/2 10:23,0:08:08,0:08:08,,00,04,,,2018/11/2 10:23,2018/11/2 10:36,43406.432638888943406.4416666667,#N/A,,,,
-,-,10,2018/11/2 10:43,8489,乗客アプリ（目的地から）,1725,81,4,1,,2018/11/2 10:48,2018/11/2 10:57,35.443908 139.635249,イセザキ・モール,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/2 10:48,2018/11/2 10:48,2018/11/2 10:57,2018/11/2 10:57,,2018/11/2 10:43,0:08:57,0:08:57,,00,04,,,2018/11/2 10:43,2018/11/2 10:57,43406.446527777843406.45625,肯定的,,,,
