,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/11/20 10:22,068-274-BANANA,16628,乗客アプリ（目的地から）,6764,974,13,1,,2018/11/20 10:25,2018/11/20 10:30,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/20 10:25,2018/11/20 10:25,2018/11/20 10:30,2018/11/20 10:30,,2018/11/20 10:22,0:04:15,0:04:15,,00,02,,,,,
-,-,10,2018/11/20 10:25,166-527-agekke,16629,乗客アプリ（地図から）,2051,69,11,1,,2018/11/20 10:29,2018/11/20 10:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/20 10:30,2018/11/20 10:30,2018/11/20 10:35,2018/11/20 10:35,,2018/11/20 10:25,0:03:44,0:03:44,,00,03,,,,,
★,-,10,2018/11/20 10:27,020-404-GREEN 068-249-BANANA,16630,乗客アプリ（簡単予約）,3620,260,6,2,,2018/11/20 10:35,2018/11/20 10:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/20 10:37,2018/11/20 10:37,2018/11/20 10:50,2018/11/20 10:50,2018/11/20 10:37,2018/11/20 10:37,0:08:49,0:17:38,,00,00,,,,,
-,-,10,2018/11/20 10:30,166-748-agekke,16631,乗客アプリ（地図から）,2171,16,13,1,,2018/11/20 10:33,2018/11/20 10:39,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/20 10:35,2018/11/20 10:35,2018/11/20 10:42,2018/11/20 10:42,,2018/11/20 10:30,0:05:34,0:05:34,,00,03,,,,,
-,-,10,2018/11/20 10:33,105-718-SNOW 105-680-SNOW,16632,乗客アプリ（目的地から）,4824,609,8,2,,2018/11/20 10:37,2018/11/20 10:43,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/20 10:35,2018/11/20 10:35,2018/11/20 10:45,2018/11/20 10:45,,2018/11/20 10:33,0:05:40,0:11:20,,01,03,,,,,
-,-,10,2018/11/20 10:38,031-345-YELLOW 031-928-YELLOW,16633,まちかど端末（店舗から）,0,574,7,2,,2018/11/20 10:42,2018/11/20 10:50,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 10:40,2018/11/20 10:40,2018/11/20 10:50,2018/11/20 10:50,,2018/11/20 10:38,0:08:03,0:16:06,,01,04,,,,,
-,-,10,2018/11/20 10:39,031-938-YELLOW 031-932-YELLOW 031-921-YELLOW,16634,まちかど端末（店舗から）,0,935,13,3,,2018/11/20 10:44,2018/11/20 10:53,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 10:44,2018/11/20 10:44,2018/11/20 10:55,2018/11/20 10:55,,2018/11/20 10:39,0:08:47,0:26:21,,00,05,,,,,
-,-,10,2018/11/20 10:39,167-804-CAKE,16635,乗客アプリWeb（地図から）,6769,589,9,2,,2018/11/20 10:44,2018/11/20 10:48,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/20 10:44,2018/11/20 10:44,2018/11/20 10:53,2018/11/20 10:53,,2018/11/20 10:39,0:04:17,0:08:34,,00,04,,,,,
-,-,10,2018/11/20 10:40,068-274-BANANA,16636,乗客アプリ（地図から）,6764,724,2,1,,2018/11/20 10:43,2018/11/20 10:52,35.45435 139.631762,横浜ロイヤルパークホテル,35.443908 139.635249,イセザキ・モール,2018/11/20 10:45,2018/11/20 10:45,2018/11/20 10:54,2018/11/20 10:54,,2018/11/20 10:40,0:08:32,0:08:32,,00,03,,,,,
-,-,10,2018/11/20 10:40,028-162-GREEN,16637,乗客アプリ（目的地から）,6068,263,1,1,,2018/11/20 10:44,2018/11/20 10:54,35.445783 139.642958,横浜情報文化センター,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/20 10:43,2018/11/20 10:43,2018/11/20 10:57,2018/11/20 10:57,,2018/11/20 10:40,0:10:32,0:10:32,,00,03,,,,,
-,-,10,2018/11/20 10:47,072-580-ORANGE 071-113-ORANGE,16638,まちかど端末（店舗から）,0,579,8,2,,2018/11/20 10:52,2018/11/20 11:02,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/20 10:50,2018/11/20 10:50,2018/11/20 11:05,2018/11/20 11:05,,2018/11/20 10:47,0:10:27,0:20:54,,01,05,,,,,
-,-,10,2018/11/20 10:52,031-346-YELLOW 023-821-GREEN 031-347-YELLOW,16640,まちかど端末（店舗から）,0,187,5,3,,2018/11/20 10:56,2018/11/20 11:04,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 10:56,2018/11/20 10:56,2018/11/20 11:07,2018/11/20 11:07,,2018/11/20 10:52,0:08:12,0:24:36,,00,03,,,,,
-,-,10,2018/11/20 10:53,019-069-RED,16641,乗客アプリ（地図から）,2137,716,9,1,,2018/11/20 10:59,2018/11/20 11:08,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/20 10:55,2018/11/20 10:58,2018/11/20 11:04,2018/11/20 11:07,,2018/11/20 10:53,0:09:27,0:09:27,,03,05,,,,,
-,-,10,2018/11/20 10:54,023-820-GREEN,16642,乗客アプリ（地図から）,1104,931,7,1,,2018/11/20 11:01,2018/11/20 11:07,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.445783 139.642958,横浜情報文化センター,2018/11/20 10:57,2018/11/20 10:57,2018/11/20 11:04,2018/11/20 11:04,,2018/11/20 10:54,0:06:03,0:06:03,,04,07,,,,,
-,-,10,2018/11/20 10:58,018-254-RED,16644,まちかど端末（乗降ポイントから）,0,748,1,1,,2018/11/20 11:03,2018/11/20 11:09,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.447541 139.644914,シルク博物館,2018/11/20 11:02,2018/11/20 11:02,2018/11/20 11:12,2018/11/20 11:12,,2018/11/20 10:58,0:05:55,0:05:55,,01,04,,,,,
-,☆,10,2018/11/20 9:35,069-314-BANANA 069-316-BANANA 069-315-BANANA,16616,まちかど端末（店舗から）,0,925,1,3,2018/11/20 9:37,,,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 10:04,,2018/11/20 10:17,,,2018/11/20 9:35,0:00:00,0:00:00,,00,04,,,,2018/11/20 10:00,※10時以前に予約しているため
-,☆,10,2018/11/20 9:47,023-817-GREEN,16619,乗客アプリ（地図から）,6763,45,10,1,2018/11/20 9:47,,,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 10:06,,2018/11/20 10:11,,,2018/11/20 9:47,0:00:00,0:00:00,,00,06,,,,2018/11/20 10:00,※10時以前に予約しているため
-,☆,10,2018/11/20 10:52,006-841-BLUE,16639,乗客アプリ（目的地から）,2823,954,9,1,2018/11/20 10:53,,,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/20 10:58,,2018/11/20 11:03,,,2018/11/20 10:52,0:00:00,0:00:00,,00,05,,,,,
★,-,11,2018/11/20 11:03,069-438-BANANA,16646,乗客アプリ（地図から）,5455,751,10,1,,2018/11/20 11:09,2018/11/20 11:21,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/20 11:13,2018/11/20 11:13,2018/11/20 11:29,2018/11/20 11:29,2018/11/20 11:13,2018/11/20 11:13,0:11:59,0:11:59,392,00,00,05,04,,,
-,-,11,2018/11/20 11:04,069-710-BANANA,16647,まちかど端末（乗降ポイントから）,0,293,5,1,,2018/11/20 11:05,2018/11/20 11:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/20 11:06,2018/11/20 11:06,2018/11/20 11:15,2018/11/20 11:15,,2018/11/20 11:04,0:08:06,0:08:06,,00,01,,,,,
-,-,11,2018/11/20 11:09,166-748-agekke,16648,乗客アプリ（地図から）,2171,733,2,1,,2018/11/20 11:13,2018/11/20 11:21,35.450447 139.635947,馬車道駅（みなとみらい線）,35.443073 139.651914,横浜人形の家,2018/11/20 11:14,2018/11/20 11:14,2018/11/20 11:23,2018/11/20 11:23,,2018/11/20 11:09,0:08:27,0:08:27,,00,03,,,,,
★,-,11,2018/11/20 11:09,068-467-BANANA 068-432-BANANA,16649,乗客アプリ（目的地から）,6771,169,15,2,,2018/11/20 11:17,2018/11/20 11:30,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 11:19,2018/11/20 11:19,2018/11/20 11:29,2018/11/20 11:34,2018/11/20 11:19,2018/11/20 11:19,0:12:21,0:24:42,,00,00,,,,,
-,-,11,2018/11/20 11:10,006-548-BLUE 062-776-BANANA,16650,乗客アプリ（地図から）,5131,645,3,2,,2018/11/20 11:18,2018/11/20 11:27,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454389 139.630904,横浜ランドマークタワー,2018/11/20 11:18,2018/11/20 11:18,2018/11/20 11:26,2018/11/20 11:26,,2018/11/20 11:10,0:09:20,0:18:40,,00,07,,,,,
-,-,11,2018/11/20 11:10,068-274-BANANA,16651,乗客アプリ（地図から）,6764,276,9,1,,2018/11/20 11:15,2018/11/20 11:20,35.443908 139.635249,イセザキ・モール,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 11:13,2018/11/20 11:13,2018/11/20 11:19,2018/11/20 11:19,,2018/11/20 11:10,0:04:50,0:04:50,,01,04,,,,,
-,-,11,2018/11/20 11:15,167-805-CAKE,16652,乗客アプリWeb（地図から）,6772,306,8,3,,2018/11/20 11:21,2018/11/20 11:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454389 139.630904,横浜ランドマークタワー,2018/11/20 11:19,2018/11/20 11:19,2018/11/20 11:29,2018/11/20 11:29,,2018/11/20 11:15,0:03:49,0:11:27,,01,05,,,,,
-,-,11,2018/11/20 11:15,023-820-GREEN,16653,乗客アプリ（地図から）,1104,703,4,1,,2018/11/20 11:19,2018/11/20 11:26,35.445783 139.642958,横浜情報文化センター,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 11:18,2018/11/20 11:18,2018/11/20 11:26,2018/11/20 11:26,,2018/11/20 11:15,0:07:06,0:07:06,,01,04,,,,,
★,-,11,2018/11/20 11:16,061-224-BANANA 068-306-BANANA,16654,乗客アプリ（地図から）,4719,35,15,2,,2018/11/20 11:24,2018/11/20 11:38,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 11:26,2018/11/20 11:26,2018/11/20 11:43,2018/11/20 11:43,2018/11/20 11:26,2018/11/20 11:26,0:14:25,0:28:50,,00,00,,,,,
★,-,11,2018/11/20 11:19,062-878-BANANA 062-879-BANANA 062-876-BANANA,16656,乗客アプリ（目的地から）,4324,693,10,3,,2018/11/20 11:28,2018/11/20 11:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 11:29,2018/11/20 11:29,2018/11/20 11:38,2018/11/20 11:38,2018/11/20 11:29,2018/11/20 11:29,0:08:11,0:24:33,,00,00,,,,,
-,-,11,2018/11/20 11:21,025-186-GREEN 025-179-GREEN,16657,まちかど端末（店舗から）,0,906,7,2,,2018/11/20 11:27,2018/11/20 11:38,35.441002 139.650809,横浜元町ショッピングストリート,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 11:24,2018/11/20 11:24,2018/11/20 11:38,2018/11/20 11:38,,2018/11/20 11:21,0:10:26,0:20:52,,03,06,,,,,
-,-,11,2018/11/20 11:26,118-142-SUN 118-131-SUN,16658,乗客アプリ（地図から）,6674,63,9,2,,2018/11/20 11:31,2018/11/20 11:37,35.443908 139.635249,イセザキ・モール,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 11:29,2018/11/20 11:29,2018/11/20 11:38,2018/11/20 11:38,,2018/11/20 11:26,0:06:39,0:13:18,,02,05,,,,,
-,-,11,2018/11/20 11:27,118-127-SUN,16659,まちかど端末（店舗から）,0,509,6,1,,2018/11/20 11:33,2018/11/20 11:41,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/20 11:31,2018/11/20 11:31,2018/11/20 11:37,2018/11/20 11:37,,2018/11/20 11:27,0:07:25,0:07:25,,02,06,,,,,
-,-,11,2018/11/20 11:27,068-448-BANANA 066-213-BANANA,16660,乗客アプリ（地図から）,5936,987,11,2,,2018/11/20 11:32,2018/11/20 11:42,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/20 11:30,2018/11/20 11:30,2018/11/20 11:45,2018/11/20 11:45,,2018/11/20 11:27,0:09:54,0:19:48,,01,04,,,,,
-,-,11,2018/11/20 11:35,069-438-BANANA,16661,乗客アプリ（地図から）,5455,713,3,1,,2018/11/20 11:39,2018/11/20 11:44,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 11:37,2018/11/20 11:37,2018/11/20 11:44,2018/11/20 11:44,,2018/11/20 11:35,0:04:58,0:04:58,,01,03,,,,,
-,-,11,2018/11/20 11:40,118-124-SUN 118-123-SUN 118-126-SUN 118-128-SUN 118-125-SUN,16662,まちかど端末（店舗から）,0,197,6,5,,2018/11/20 11:49,2018/11/20 11:57,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 11:47,2018/11/20 11:47,2018/11/20 11:57,2018/11/20 11:57,,2018/11/20 11:40,0:08:10,0:40:50,,02,08,,,,,
-,-,11,2018/11/20 11:42,117-562-SUN 117-565-SUN 117-564-SUN 117-563-SUN 117-969-SUN,16663,まちかど端末（店舗から）,0,806,10,5,,2018/11/20 11:52,2018/11/20 11:58,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 11:50,2018/11/20 11:50,2018/11/20 12:00,2018/11/20 12:00,,2018/11/20 11:42,0:06:19,0:31:35,,01,09,,,,,
★,-,11,2018/11/20 11:44,071-240-ORANGE 071-236-ORANGE 058-904-STRAWBERRY 067-398-BANANA,16664,乗客アプリ（地図から）,6758,329,11,4,,2018/11/20 11:56,2018/11/20 12:01,35.45435 139.631762,横浜ロイヤルパークホテル,35.445783 139.642958,横浜情報文化センター,2018/11/20 11:54,2018/11/20 11:55,2018/11/20 12:07,2018/11/20 12:08,2018/11/20 11:54,2018/11/20 11:54,0:04:42,0:18:48,,01,01,,,,,
★,-,11,2018/11/20 11:49,166-492-agekke,16666,乗客アプリ（地図から）,1751,396,8,1,,2018/11/20 11:54,2018/11/20 12:04,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/20 11:58,2018/11/20 11:58,2018/11/20 12:13,2018/11/20 12:13,2018/11/20 11:58,2018/11/20 11:58,0:10:44,0:10:44,,00,00,,,,,
-,-,11,2018/11/20 11:49,114-086-SUN,16667,乗客アプリ（目的地から）,1747,779,9,1,,2018/11/20 11:54,2018/11/20 12:02,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445857 139.647636,ホテルモントレ横浜,2018/11/20 11:57,2018/11/20 11:57,2018/11/20 12:06,2018/11/20 12:06,,2018/11/20 11:49,0:08:32,0:08:32,,00,04,,,,,
-,-,11,2018/11/20 11:54,105-816-SNOW,16668,乗客アプリ（地図から）,6535,406,7,1,,2018/11/20 12:04,2018/11/20 12:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/20 12:03,2018/11/20 12:03,2018/11/20 12:13,2018/11/20 12:13,,2018/11/20 11:54,0:11:50,0:11:50,,00,09,,,,,
-,-,11,2018/11/20 11:55,069-710-BANANA,16669,まちかど端末（乗降ポイントから）,0,993,10,1,,2018/11/20 12:04,2018/11/20 12:12,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/20 12:04,2018/11/20 12:04,2018/11/20 12:12,2018/11/20 12:12,,2018/11/20 11:55,0:07:57,0:07:57,,00,08,,,,,
-,-,11,2018/11/20 11:55,062-841-BANANA 062-957-BANANA,16670,まちかど端末（乗降ポイントから）,0,852,9,2,,2018/11/20 12:08,2018/11/20 12:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 12:13,2018/11/20 12:13,2018/11/20 12:25,2018/11/20 12:25,,2018/11/20 11:55,0:08:05,0:16:10,,00,13,,,,,
-,-,11,2018/11/20 11:55,018-251-RED,16671,乗客アプリ（地図から）,2177,837,11,1,,2018/11/20 12:17,2018/11/20 12:30,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 12:19,2018/11/20 12:19,2018/11/20 12:31,2018/11/20 12:37,,2018/11/20 11:55,0:12:41,0:12:41,,00,22,,,,,
-,-,11,2018/11/20 11:55,024-902-GREEN,16672,乗客アプリ（地図から）,6262,373,13,1,,2018/11/20 12:02,2018/11/20 12:20,35.453715 139.638133,横浜ワールドポーターズ,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/20 12:05,2018/11/20 12:05,2018/11/20 12:22,2018/11/20 12:22,,2018/11/20 11:55,0:17:54,0:17:54,,00,06,,,,,
★,☆,11,2018/11/20 10:14,167-801-CAKE,16625,乗客アプリWeb（地図から）,6766,421,5,4,2018/11/20 10:15,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/20 11:14,,2018/11/20 11:25,,2018/11/20 11:14,2018/11/20 11:14,0:00:00,0:00:00,,00,00,,,,,
★,☆,11,2018/11/20 10:56,118-142-SUN 118-131-SUN,16643,乗客アプリ（地図から）,6674,229,9,2,2018/11/20 10:57,,,35.443908 139.635249,イセザキ・モール,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 11:56,,2018/11/20 12:05,,2018/11/20 11:56,2018/11/20 11:56,0:00:00,0:00:00,,00,00,,,,※57行と同一人物と思われるため一番短いものを採用,
★,☆,11,2018/11/20 10:59,118-142-SUN 118-131-SUN,16645,乗客アプリ（地図から）,6674,284,9,2,2018/11/20 11:25,,,35.443908 139.635249,イセザキ・モール,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/20 11:59,,2018/11/20 12:08,,2018/11/20 11:59,2018/11/20 11:59,0:00:00,0:00:00,,00,,,,,※56行と同一人物と思われるため一番短いものを採用,
-,☆,11,2018/11/20 11:46,015-954-RED,16665,乗客アプリ（地図から）,3445,1001,8,1,2018/11/20 12:00,2018/11/20 11:51,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.450447 139.635947,馬車道駅（みなとみらい線）,2018/11/20 11:50,2018/11/20 11:50,2018/11/20 11:55,,,2018/11/20 11:46,,,,00,14,,,,,
★,-,12,2018/11/20 11:18,061-114-BANANA 061-225-BANANA,16655,乗客アプリ（地図から）,6020,881,13,2,,2018/11/20 12:16,2018/11/20 12:30,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/20 12:18,2018/11/20 12:18,2018/11/20 12:33,2018/11/20 12:39,2018/11/20 12:18,2018/11/20 12:18,0:14:47,0:29:34,357,00,00,05,04,,,
★,-,12,2018/11/20 12:03,067-166-BANANA,16673,乗客アプリ（地図から）,5528,626,1,1,,2018/11/20 12:12,2018/11/20 12:29,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/20 12:13,2018/11/20 12:14,2018/11/20 12:33,2018/11/20 12:42,2018/11/20 12:13,2018/11/20 12:13,0:16:47,0:16:47,,00,00,,,,,
-,-,12,2018/11/20 12:07,026-876-GREEN,16674,乗客アプリ（地図から）,3738,662,2,1,,2018/11/20 12:13,2018/11/20 12:25,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/20 12:14,2018/11/20 12:14,2018/11/20 12:33,2018/11/20 12:36,,2018/11/20 12:07,0:11:35,0:11:35,,00,06,,,,,
★,-,12,2018/11/20 12:11,062-879-BANANA 062-878-BANANA 062-876-BANANA,16675,乗客アプリ（目的地から）,4324,950,1,3,,2018/11/20 12:20,2018/11/20 12:33,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/20 12:24,2018/11/20 12:24,2018/11/20 12:36,2018/11/20 12:36,2018/11/20 12:21,2018/11/20 12:21,0:13:14,0:39:42,,00,00,,,,,
-,-,12,2018/11/20 12:13,069-438-BANANA,16676,乗客アプリ（地図から）,5455,455,11,1,,2018/11/20 12:22,2018/11/20 12:30,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/20 12:25,2018/11/20 12:25,2018/11/20 12:36,2018/11/20 12:36,,2018/11/20 12:13,0:08:06,0:08:06,,00,09,,,,,
-,-,12,2018/11/20 12:13,025-141-GREEN 025-140-GREEN,16677,まちかど端末（店舗から）,0,937,2,2,,2018/11/20 12:33,2018/11/20 12:43,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/20 12:41,2018/11/20 12:41,2018/11/20 12:56,2018/11/20 13:09,,2018/11/20 12:13,0:09:59,0:19:58,,00,19,,,,,
