,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/11/28 10:13,006-938-BLUE,21095,まちかど端末（店舗から）,0,902,5,1,,2018/11/28 10:14,2018/11/28 10:21,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/28 10:14,2018/11/28 10:14,2018/11/28 10:24,2018/11/28 10:24,,2018/11/28 10:13,0:07:20,0:07:20,,00,01,,,,,
★,-,10,2018/11/28 10:14,075-999-ORANGE,21097,まちかど端末（店舗から）,0,142,13,1,,2018/11/28 10:19,2018/11/28 10:26,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/28 10:24,2018/11/28 10:24,2018/11/28 10:33,2018/11/28 10:33,2018/11/28 10:24,2018/11/28 10:24,0:07:07,0:07:07,,00,00,,,,,
-,-,10,2018/11/28 10:19,076-154-ORANGE,21098,まちかど端末（店舗から）,0,527,5,1,,2018/11/28 10:22,2018/11/28 10:27,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/28 10:22,2018/11/28 10:22,2018/11/28 10:31,2018/11/28 10:31,,2018/11/28 10:19,0:05:01,0:05:01,,00,03,,,,,
★,-,10,2018/11/28 10:22,110-836-SUN,21100,乗客アプリ（地図から）,4073,351,13,1,,2018/11/28 10:27,2018/11/28 10:41,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/28 10:32,2018/11/28 10:32,2018/11/28 10:48,2018/11/28 10:48,2018/11/28 10:32,2018/11/28 10:32,0:13:41,0:13:41,,00,00,,,,,
-,-,10,2018/11/28 10:23,166-534-agekke,21101,乗客アプリ（地図から）,1751,1000,11,1,,2018/11/28 10:25,2018/11/28 10:34,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.447546 139.64358,横浜開港資料館,2018/11/28 10:25,2018/11/28 10:25,2018/11/28 10:37,2018/11/28 10:37,,2018/11/28 10:23,0:08:07,0:08:07,,00,02,,,,,
-,-,10,2018/11/28 10:23,166-550-agekke,21102,まちかど端末（乗降ポイントから）,0,145,2,1,,2018/11/28 10:28,2018/11/28 10:38,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/28 10:27,2018/11/28 10:27,2018/11/28 10:35,2018/11/28 10:35,,2018/11/28 10:23,0:10:07,0:10:07,,00,05,,,,,
-,-,10,2018/11/28 10:34,053-189-STRAWBERRY 053-174-STRAWBERRY 053-188-STRAWBERRY,21105,乗客アプリ（目的地から）,1292,556,15,3,,2018/11/28 10:38,2018/11/28 10:52,35.448801 139.636702,ホテルルートイン横浜馬車道,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/28 10:37,2018/11/28 10:37,2018/11/28 10:51,2018/11/28 11:05,,2018/11/28 10:34,0:14:02,0:42:06,,00,03,,,,,
-,-,10,2018/11/28 10:34,034-079-YELLOW,21106,乗客アプリ（Myルートから）,4852,18,3,1,,2018/11/28 10:38,2018/11/28 10:41,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/28 10:39,2018/11/28 10:39,2018/11/28 10:44,2018/11/28 10:44,,2018/11/28 10:34,0:02:34,0:02:34,,00,04,,,,,
-,-,10,2018/11/28 10:36,033-891-YELLOW 033-890-YELLOW,21107,乗客アプリ（地図から）,7520,461,4,2,,2018/11/28 10:38,2018/11/28 10:48,35.443659 139.650847,横浜マリンタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/28 10:39,2018/11/28 10:39,2018/11/28 10:51,2018/11/28 10:51,,2018/11/28 10:36,0:09:46,0:19:32,,00,02,,,,,
-,-,10,2018/11/28 10:37,077-524-ORANGE,21109,乗客アプリ（Myルートから）,4092,573,8,1,,2018/11/28 10:41,2018/11/28 11:05,35.441002 139.650809,横浜元町ショッピングストリート,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/28 10:40,2018/11/28 10:42,2018/11/28 10:57,2018/11/28 11:13,,2018/11/28 10:37,0:24:26,0:24:26,,00,03,,,,,
★,-,10,2018/11/28 10:38,077-625-ORANGE,21110,乗客アプリ（地図から）,2867,989,15,1,,2018/11/28 10:45,2018/11/28 10:47,35.450554 139.632616,横浜桜木町ワシントンホテル,35.456605 139.635327,横浜ベイホテル東急,2018/11/28 10:48,2018/11/28 10:48,2018/11/28 10:57,2018/11/28 10:57,2018/11/28 10:48,2018/11/28 10:48,0:02:41,0:02:41,,00,00,,,,,
-,-,10,2018/11/28 10:38,025-405-GREEN,21111,乗客アプリ（Myルートから）,2137,972,5,1,,2018/11/28 10:41,2018/11/28 10:49,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/28 10:43,2018/11/28 10:43,2018/11/28 10:52,2018/11/28 10:52,,2018/11/28 10:38,0:07:59,0:07:59,,00,02,,,,,
-,-,10,2018/11/28 10:39,036-196-YELLOW,21112,まちかど端末（乗降ポイントから）,0,39,6,1,,2018/11/28 10:41,2018/11/28 10:48,35.445783 139.642958,横浜情報文化センター,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/28 10:42,2018/11/28 10:42,2018/11/28 10:52,2018/11/28 10:52,,2018/11/28 10:39,0:06:32,0:06:32,,00,02,,,,,
★,-,10,2018/11/28 10:39,112-295-SUN 112-294-SUN,21113,乗客アプリ（地図から）,4087,520,8,2,,2018/11/28 10:51,2018/11/28 10:58,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/28 10:49,2018/11/28 10:49,2018/11/28 11:02,2018/11/28 11:02,2018/11/28 10:49,2018/11/28 10:49,0:07:13,0:14:26,,01,01,,,,,
-,-,10,2018/11/28 10:44,076-787-ORANGE 076-788-ORANGE,21114,乗客アプリ（Myルートから）,7611,377,7,2,,2018/11/28 10:54,2018/11/28 11:08,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/28 10:53,2018/11/28 10:53,2018/11/28 11:07,2018/11/28 11:07,,2018/11/28 10:44,0:14:13,0:28:26,,00,09,,,,,
-,-,10,2018/11/28 10:46,034-282-YELLOW,21115,乗客アプリ（目的地から）,6840,748,2,1,,2018/11/28 10:49,2018/11/28 11:11,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/11/28 10:53,2018/11/28 10:53,2018/11/28 11:05,2018/11/28 11:05,,2018/11/28 10:46,0:21:48,0:21:48,,00,03,,,,,
-,-,10,2018/11/28 10:46,017-556-RED,21116,乗客アプリ（地図から）,1686,565,10,1,,2018/11/28 10:49,2018/11/28 10:58,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/28 10:48,2018/11/28 10:48,2018/11/28 10:59,2018/11/28 10:59,,2018/11/28 10:46,0:08:57,0:08:57,,01,03,,,,,
-,-,10,2018/11/28 10:48,033-776-YELLOW,21117,まちかど端末（店舗から）,0,422,15,1,,2018/11/28 10:52,2018/11/28 11:01,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/28 10:55,2018/11/28 10:55,2018/11/28 11:10,2018/11/28 11:10,,2018/11/28 10:48,0:09:20,0:09:20,,00,03,,,,,
-,-,10,2018/11/28 10:49,076-624-ORANGE 076-625-ORANGE,21118,乗客アプリ（目的地から）,2801,44,6,2,,2018/11/28 10:55,2018/11/28 11:04,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/28 10:53,2018/11/28 10:53,2018/11/28 11:05,2018/11/28 11:05,,2018/11/28 10:49,0:08:57,0:17:54,,02,06,,,,,
-,-,10,2018/11/28 10:50,104-675-SNOW,21119,乗客アプリ（目的地から）,6775,828,11,1,,2018/11/28 10:57,2018/11/28 11:03,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.445783 139.642958,横浜情報文化センター,2018/11/28 10:57,2018/11/28 10:57,2018/11/28 11:10,2018/11/28 11:10,,2018/11/28 10:50,0:06:28,0:06:28,,00,06,,,,,
-,-,10,2018/11/28 10:55,166-534-agekke,21121,乗客アプリ（地図から）,1751,531,13,1,,2018/11/28 10:57,2018/11/28 11:02,35.447541 139.644914,シルク博物館,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/28 10:57,2018/11/28 10:57,2018/11/28 11:02,2018/11/28 11:02,,2018/11/28 10:55,0:04:40,0:04:40,,00,01,,,,,
-,-,10,2018/11/28 10:56,100-740-SNOW,21122,乗客アプリ（簡単予約）,2518,653,4,1,,2018/11/28 11:01,2018/11/28 11:07,35.450447 139.635947,馬車道駅（みなとみらい線）,35.456605 139.635327,横浜ベイホテル東急,2018/11/28 11:02,2018/11/28 11:02,2018/11/28 11:13,2018/11/28 11:13,,2018/11/28 10:56,0:05:43,0:05:43,,00,04,,,,,
-,-,10,2018/11/28 10:58,009-311-BLUE 027-738-GREEN 009-312-BLUE,21123,乗客アプリ（地図から）,2530,242,10,3,,2018/11/28 11:00,2018/11/28 11:10,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443073 139.651914,横浜人形の家,2018/11/28 10:59,2018/11/28 10:59,2018/11/28 11:16,2018/11/28 11:16,,2018/11/28 10:58,0:10:20,0:31:00,,00,01,,,,,
★,☆,10,2018/11/28 9:50,076-624-ORANGE 076-625-ORANGE,21081,乗客アプリ（地図から）,2801,445,10,2,2018/11/28 10:01,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/28 10:11,,2018/11/28 10:27,,2018/11/28 10:00,2018/11/28 10:00,0:00:00,0:00:00,,00,11,,,,,
-,☆,10,2018/11/28 10:21,110-836-SUN,21099,乗客アプリ（地図から）,4073,772,7,1,2018/11/28 10:21,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/28 10:22,,2018/11/28 10:30,,,2018/11/28 10:21,0:00:00,0:00:00,,00,01,,,,,
-,☆,10,2018/11/28 10:30,077-524-ORANGE,21103,乗客アプリ（地図から）,4092,435,8,1,2018/11/28 10:37,,,35.441002 139.650809,横浜元町ショッピングストリート,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/28 10:33,,2018/11/28 10:50,,,2018/11/28 10:30,0:00:00,0:00:00,,00,06,,,,,
★,☆,10,2018/11/28 10:32,076-787-ORANGE 076-788-ORANGE,21104,乗客アプリ（地図から）,7611,565,13,2,2018/11/28 10:32,,,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/28 10:42,,2018/11/28 10:56,,2018/11/28 10:42,2018/11/28 10:42,0:00:00,0:00:00,,00,00,,,,※43行と同一人物と思われるため一番短い待ち時間を採用,
★,☆,10,2018/11/28 10:37,076-787-ORANGE 076-788-ORANGE,21108,乗客アプリ（地図から）,7611,658,5,2,2018/11/28 10:37,,,35.456605 139.635327,横浜ベイホテル東急,35.441441 139.648505,横浜中華街朱雀門,2018/11/28 10:47,,2018/11/28 11:01,,2018/11/28 10:47,2018/11/28 10:47,0:00:00,0:00:00,,00,,,,,※42行と同一人物と思われるため一番短い待ち時間を採用,
★,-,11,2018/11/28 10:51,117-316-SUN,21120,乗客アプリ（地図から）,7537,594,2,1,,2018/11/28 10:59,2018/11/28 11:02,35.450447 139.635947,馬車道駅（みなとみらい線）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/28 11:01,2018/11/28 11:01,2018/11/28 11:04,2018/11/28 11:04,2018/11/28 11:01,2018/11/28 11:01,0:02:41,0:02:41,447,00,00,04,04,,,
-,-,11,2018/11/28 11:03,117-316-SUN,21124,乗客アプリ（地図から）,7537,785,9,1,,2018/11/28 11:07,2018/11/28 11:15,35.448801 139.636702,ホテルルートイン横浜馬車道,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/28 11:07,2018/11/28 11:07,2018/11/28 11:14,2018/11/28 11:14,,2018/11/28 11:03,0:07:39,0:07:39,,00,04,,,,,
-,-,11,2018/11/28 11:10,034-147-YELLOW 034-148-YELLOW 025-163-GREEN 025-162-GREEN,21126,まちかど端末（店舗から）,0,164,7,4,,2018/11/28 11:16,2018/11/28 11:24,35.441002 139.650809,横浜元町ショッピングストリート,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/28 11:12,2018/11/28 11:12,2018/11/28 11:24,2018/11/28 11:24,,2018/11/28 11:10,0:07:51,0:31:24,,03,06,,,,,
-,-,11,2018/11/28 11:12,167-990-CAKE,21127,乗客アプリWeb（地図から）,7621,721,6,3,,2018/11/28 11:16,2018/11/28 11:31,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/28 11:14,2018/11/28 11:14,2018/11/28 11:23,2018/11/28 11:35,,2018/11/28 11:12,0:15:18,0:45:54,,02,04,,,,,
★,-,11,2018/11/28 11:12,026-833-GREEN 070-890-ORANGE,21128,まちかど端末（店舗から）,0,911,6,2,,2018/11/28 11:22,2018/11/28 11:37,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443073 139.651914,横浜人形の家,2018/11/28 11:22,2018/11/28 11:22,2018/11/28 11:39,2018/11/28 11:39,2018/11/28 11:22,2018/11/28 11:22,0:15:06,0:30:12,,00,00,,,,,
-,-,11,2018/11/28 11:15,072-451-ORANGE 076-753-ORANGE 077-584-ORANGE,21130,まちかど端末（店舗から）,0,914,5,3,,2018/11/28 11:18,2018/11/28 11:24,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/28 11:21,2018/11/28 11:21,2018/11/28 11:30,2018/11/28 11:30,,2018/11/28 11:15,0:05:49,0:17:27,,00,03,,,,,
-,-,11,2018/11/28 11:17,033-340-YELLOW 033-574-YELLOW,21131,まちかど端末（乗降ポイントから）,0,943,3,2,,2018/11/28 11:22,2018/11/28 11:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/28 11:20,2018/11/28 11:20,2018/11/28 11:37,2018/11/28 11:37,,2018/11/28 11:17,0:10:49,0:21:38,,01,04,,,,,
-,-,11,2018/11/28 11:19,070-951-ORANGE,21132,乗客アプリ（Myルートから）,4452,55,1,1,,2018/11/28 11:23,2018/11/28 11:29,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/28 11:20,2018/11/28 11:20,2018/11/28 11:27,2018/11/28 11:27,,2018/11/28 11:19,0:05:37,0:05:37,,02,04,,,,,
-,-,11,2018/11/28 11:21,052-129-STRAWBERRY,21133,乗客アプリ（地図から）,1923,525,11,1,,2018/11/28 11:29,2018/11/28 11:36,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.447546 139.64358,横浜開港資料館,2018/11/28 11:26,2018/11/28 11:26,2018/11/28 11:37,2018/11/28 11:37,,2018/11/28 11:21,0:06:59,0:06:59,,02,07,,,,,
★,-,11,2018/11/28 11:22,055-390-STRAWBERRY 065-732-BANANA 070-265-ORANGE,21134,乗客アプリ（地図から）,3969,222,10,3,,2018/11/28 11:34,2018/11/28 11:41,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/28 11:32,2018/11/28 11:32,2018/11/28 11:45,2018/11/28 11:45,2018/11/28 11:32,2018/11/28 11:32,0:07:35,0:22:45,,01,01,,,,,
★,-,11,2018/11/28 11:23,117-316-SUN,21135,乗客アプリ（地図から）,7537,447,4,1,,2018/11/28 11:27,2018/11/28 11:32,35.44291 139.650404,元町・中華街駅（みなとみらい線）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/28 11:33,2018/11/28 11:33,2018/11/28 11:40,2018/11/28 11:40,2018/11/28 11:33,2018/11/28 11:33,0:05:27,0:05:27,,00,00,,,,,
★,-,11,2018/11/28 11:24,064-459-BANANA,21137,乗客アプリ（地図から）,3401,113,5,1,,2018/11/28 11:32,2018/11/28 11:37,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.456605 139.635327,横浜ベイホテル東急,2018/11/28 11:34,2018/11/28 11:34,2018/11/28 11:44,2018/11/28 11:44,2018/11/28 11:34,2018/11/28 11:34,0:05:15,0:05:15,,00,00,,,,,
-,-,11,2018/11/28 11:27,118-085-SUN,21138,乗客アプリ（地図から）,7622,791,7,1,,2018/11/28 11:33,2018/11/28 11:38,35.450447 139.635947,馬車道駅（みなとみらい線）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/28 11:33,2018/11/28 11:33,2018/11/28 11:40,2018/11/28 11:40,,2018/11/28 11:27,0:05:36,0:05:36,,00,06,,,,,
-,-,11,2018/11/28 11:27,105-100-SNOW,21139,乗客アプリ（目的地から）,5284,529,9,1,,2018/11/28 11:33,2018/11/28 11:40,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/28 11:30,2018/11/28 11:30,2018/11/28 11:39,2018/11/28 11:39,,2018/11/28 11:27,0:06:22,0:06:22,,02,06,,,,,
-,-,11,2018/11/28 11:31,033-150-YELLOW 033-151-YELLOW 033-149-YELLOW,21140,乗客アプリ（目的地から）,7589,73,15,3,,2018/11/28 11:39,2018/11/28 11:45,35.456605 139.635327,横浜ベイホテル東急,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/28 11:40,2018/11/28 11:41,2018/11/28 11:49,2018/11/28 11:50,,2018/11/28 11:31,0:06:00,0:18:00,,00,08,,,,,
-,-,11,2018/11/28 11:33,166-478-agekke,21141,乗客アプリ（地図から）,1338,508,8,1,,2018/11/28 11:40,2018/11/28 12:01,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.445783 139.642958,横浜情報文化センター,2018/11/28 11:42,2018/11/28 11:42,2018/11/28 11:54,2018/11/28 11:54,,2018/11/28 11:33,0:20:43,0:20:43,,00,06,,,,,
-,-,11,2018/11/28 11:35,034-302-YELLOW,21143,乗客アプリ（地図から）,2316,826,13,1,,2018/11/28 11:42,2018/11/28 11:51,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/28 11:47,2018/11/28 11:47,2018/11/28 11:56,2018/11/28 11:56,,2018/11/28 11:35,0:09:07,0:09:07,,00,06,,,,,
-,-,11,2018/11/28 11:40,036-196-YELLOW,21144,乗客アプリ（目的地から）,6068,729,5,1,,2018/11/28 11:46,2018/11/28 11:53,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/28 11:47,2018/11/28 11:47,2018/11/28 11:56,2018/11/28 11:56,,2018/11/28 11:40,0:07:26,0:07:26,,00,05,,,,,
★,-,11,2018/11/28 11:41,020-256-GREEN,21145,乗客アプリ（Myルートから）,4719,724,8,1,,2018/11/28 11:49,2018/11/28 12:03,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/28 11:51,2018/11/28 11:51,2018/11/28 12:05,2018/11/28 12:05,2018/11/28 11:51,2018/11/28 11:51,0:14:17,0:14:17,,00,00,,,,,
-,-,11,2018/11/28 11:42,073-718-ORANGE,21146,乗客アプリ（地図から）,3462,873,7,1,,2018/11/28 11:46,2018/11/28 11:51,35.456605 139.635327,横浜ベイホテル東急,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/28 11:49,2018/11/28 11:49,2018/11/28 11:54,2018/11/28 11:54,,2018/11/28 11:42,0:05:11,0:05:11,,00,03,,,,,
-,-,11,2018/11/28 11:42,026-727-GREEN 027-450-GREEN 026-726-GREEN,21147,まちかど端末（乗降ポイントから）,0,323,9,3,,2018/11/28 11:44,2018/11/28 11:55,35.447541 139.644914,シルク博物館,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/28 11:44,2018/11/28 11:44,2018/11/28 11:59,2018/11/28 11:59,,2018/11/28 11:42,0:10:43,0:32:09,,00,01,,,,,
-,-,11,2018/11/28 11:43,166-550-agekke,21148,乗客アプリ（目的地から）,3162,144,10,1,,2018/11/28 11:46,2018/11/28 11:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/28 11:47,2018/11/28 11:47,2018/11/28 11:57,2018/11/28 11:57,,2018/11/28 11:43,0:04:59,0:04:59,,00,02,,,,,
